,0,1,2,3,4,5,6,7,8,9,10,11
0,3.6347363,3.6610088,3.6759348,3.679924,3.6793528,3.6793728,3.6801343,3.6807106,3.6808026,3.680711,3.68067,3.680695
1,2.7954059,2.8030467,2.811579,2.814963,2.814938,2.8146815,2.8149726,2.8153563,2.8154874,2.8154511,2.8154125,2.8154182
2,-0.7122062,-0.71633446,-0.7169342,-0.71851194,-0.72007984,-0.72075087,-0.72076666,-0.72067755,-0.72068524,-0.7207355,-0.72075987,-0.7207567
