,loss
0,1906.8125
1,304.6225891113281
2,-75.55449676513672
3,-223.568115234375
4,-295.9949035644531
5,-336.3791198730469
6,-360.8663024902344
7,-376.60400390625
8,-387.16046142578125
9,-394.4812316894531
10,-399.6972351074219
11,-403.5028381347656
12,-406.3399353027344
13,-408.50128173828125
14,-410.18426513671875
15,-411.5274963378906
16,-412.6270751953125
17,-413.5526428222656
18,-414.35455322265625
19,-415.06976318359375
20,-415.7262878417969
21,-416.3438415527344
22,-416.9376525878906
23,-417.51849365234375
24,-418.0956726074219
25,-418.6748352050781
26,-419.2607116699219
27,-419.856689453125
28,-420.46484375
29,-421.0870361328125
30,-421.7240905761719
31,-422.3770751953125
32,-423.0458679199219
33,-423.73028564453125
34,-424.430908203125
35,-425.14727783203125
36,-425.87890625
37,-426.6253967285156
38,-427.3861999511719
39,-428.16119384765625
40,-428.9498291015625
41,-429.75140380859375
42,-430.5654296875
43,-431.39178466796875
44,-432.2293701171875
45,-433.07855224609375
46,-433.93829345703125
47,-434.8089599609375
48,-435.6893615722656
49,-436.5799865722656
50,-437.4798583984375
51,-438.388916015625
52,-439.30718994140625
53,-440.234130859375
54,-441.1697998046875
55,-442.1138610839844
56,-443.0664367675781
57,-444.0270080566406
58,-444.9954528808594
59,-445.97186279296875
60,-446.9563903808594
61,-447.9486999511719
62,-448.9486999511719
63,-449.9563293457031
64,-450.9719543457031
65,-451.9950866699219
66,-453.0261535644531
67,-454.0649719238281
68,-455.1114807128906
69,-456.1659240722656
70,-457.2283630371094
71,-458.2987365722656
72,-459.3772888183594
73,-460.4640808105469
74,-461.5590515136719
75,-462.6624450683594
76,-463.7744445800781
77,-464.8948669433594
78,-466.0243835449219
79,-467.1626892089844
80,-468.3101501464844
81,-469.4668273925781
82,-470.6330261230469
83,-471.8086853027344
84,-472.9943542480469
85,-474.1900329589844
86,-475.3962097167969
87,-476.6128845214844
88,-477.8398742675781
89,-479.0780334472656
90,-480.3274841308594
91,-481.5886535644531
92,-482.8613586425781
93,-484.1464538574219
94,-485.4439392089844
95,-486.7541198730469
96,-488.0774841308594
97,-489.4142761230469
98,-490.7648620605469
99,-492.1297912597656
100,-493.5096130371094
101,-494.9042053222656
102,-496.3149108886719
103,-497.7413635253906
104,-499.1844177246094
105,-500.6444396972656
106,-502.1221618652344
107,-503.6184997558594
108,-505.1335754394531
109,-506.6679382324219
110,-508.2230529785156
111,-509.7989196777344
112,-511.3963928222656
113,-513.016845703125
114,-514.66015625
115,-516.3282470703125
116,-518.0214233398438
117,-519.7410278320312
118,-521.4880981445312
119,-523.2637329101562
120,-525.0689697265625
121,-526.905517578125
122,-528.77392578125
123,-530.6763916015625
124,-532.6143188476562
125,-534.589111328125
126,-536.6024780273438
127,-538.6565551757812
128,-540.7529907226562
129,-542.8931884765625
130,-545.0802612304688
131,-547.3160400390625
132,-549.6023559570312
133,-551.9418334960938
134,-554.3375854492188
135,-556.791259765625
136,-559.3056640625
137,-561.8832397460938
138,-564.5270385742188
139,-567.2388916015625
140,-570.0206909179688
141,-572.875244140625
142,-575.8026123046875
143,-578.8038330078125
144,-581.8785400390625
145,-585.0233154296875
146,-588.2338256835938
147,-591.5030517578125
148,-594.8179321289062
149,-598.1610107421875
150,-601.505615234375
151,-604.8152465820312
152,-608.03955078125
153,-611.1123046875
154,-613.9495849609375
155,-616.45751953125
156,-618.545166015625
157,-620.1573486328125
158,-621.316650390625
159,-622.1671752929688
160,-622.97998046875
161,-624.076171875
162,-625.660400390625
163,-627.6915283203125
164,-629.9180908203125
165,-632.0431518554688
166,-633.8677978515625
167,-635.3350219726562
168,-636.4873657226562
169,-637.4193115234375
170,-638.230712890625
171,-639.0065307617188
172,-639.8091430664062
173,-640.6740112304688
174,-641.6151123046875
175,-642.6275024414062
176,-643.6903686523438
177,-644.7742919921875
178,-645.8436279296875
179,-646.8690185546875
180,-647.8310546875
181,-648.7283935546875
182,-649.5797729492188
183,-650.4139404296875
184,-651.25927734375
185,-652.128662109375
186,-653.0123901367188
187,-653.890380859375
188,-654.7379760742188
189,-655.5404052734375
190,-656.2922973632812
191,-657.0015258789062
192,-657.681884765625
193,-658.3460083007812
194,-659.0076904296875
195,-659.6726684570312
196,-660.3444213867188
197,-661.0203857421875
198,-661.6954345703125
199,-662.3640747070312
200,-663.0201416015625
201,-663.6620483398438
202,-664.2894897460938
203,-664.905517578125
204,-665.5118408203125
205,-666.1126708984375
206,-666.7095336914062
207,-667.3001098632812
208,-667.88330078125
209,-668.4573364257812
210,-669.0197143554688
211,-669.5720825195312
