,loss
0,2991.479736328125
1,893.41455078125
2,377.993896484375
3,170.10775756835938
4,64.58828735351562
5,3.41009521484375
6,-35.28118896484375
7,-61.306884765625
8,-79.64535522460938
9,-93.05178833007812
10,-103.15499877929688
11,-110.969482421875
12,-117.154541015625
13,-122.15341186523438
14,-126.27276611328125
15,-129.72964477539062
16,-132.68142700195312
17,-135.24404907226562
18,-137.50405883789062
19,-139.52682495117188
20,-141.36318969726562
21,-143.05172729492188
22,-144.62277221679688
23,-146.100341796875
24,-147.50390625
25,-148.84823608398438
26,-150.14614868164062
27,-151.406494140625
28,-152.63821411132812
29,-153.84756469726562
30,-155.03985595703125
31,-156.2197265625
32,-157.39019775390625
33,-158.55499267578125
34,-159.7158203125
35,-160.8753662109375
36,-162.03506469726562
37,-163.19647216796875
38,-164.36093139648438
39,-165.52947998046875
40,-166.70230102539062
41,-167.881103515625
42,-169.06594848632812
43,-170.2576904296875
44,-171.45654296875
45,-172.66287231445312
46,-173.87738037109375
47,-175.10025024414062
48,-176.33212280273438
49,-177.57321166992188
50,-178.82269287109375
51,-180.0828857421875
52,-181.35177612304688
53,-182.630859375
54,-183.92129516601562
55,-185.2220458984375
56,-186.53271484375
57,-187.85519409179688
58,-189.18923950195312
59,-190.53445434570312
60,-191.89236450195312
61,-193.262939453125
62,-194.64627075195312
63,-196.0428466796875
64,-197.45339965820312
65,-198.87844848632812
66,-200.31930541992188
67,-201.77459716796875
68,-203.24411010742188
69,-204.73953247070312
70,-206.24569702148438
71,-207.78097534179688
72,-209.33041381835938
73,-210.91397094726562
74,-212.52426147460938
75,-214.17172241210938
76,-215.85647583007812
77,-217.62423706054688
78,-219.55075073242188
79,-221.44528198242188
80,
81,-224.91592407226562
82,-225.97451782226562
83,-226.85250854492188
84,-227.74948120117188
85,-228.77493286132812
86,-230.20108032226562
87,-231.77304077148438
88,-233.36019897460938
89,-235.18331909179688
90,-236.84530639648438
91,-238.66262817382812
92,-240.46597290039062
93,-242.35830688476562
94,-244.14804077148438
95,-246.00656127929688
96,-247.90493774414062
97,-249.81723022460938
98,-251.75424194335938
99,-253.72122192382812
100,-255.70877075195312
101,-257.7256774902344
102,-259.7717590332031
103,-261.8580017089844
104,-263.9704284667969
105,-266.1203308105469
106,-268.3119812011719
107,-270.5411071777344
108,-272.8141784667969
109,-275.1276550292969
110,-277.4880676269531
111,-279.9012756347656
112,-282.3593444824219
113,-284.8747253417969
114,-287.4439392089844
115,-290.0706481933594
116,-292.7588806152344
117,-295.5095520019531
118,-298.3258361816406
119,-301.2110900878906
120,-304.1661682128906
121,-307.1938171386719
122,-310.2940368652344
123,-313.4670104980469
124,-316.7126770019531
125,-320.0268249511719
126,-323.4032897949219
127,-326.8314514160156
128,-330.2936096191406
129,-333.7646789550781
130,-337.2051696777344
131,-340.5572204589844
132,-343.7368469238281
133,-346.6238708496094
134,-349.0553894042969
135,-350.8288879394531
136,-351.7581481933594
137,-351.8412170410156
138,-351.5434265136719
139,-351.7690734863281
140,-353.0488586425781
141,-355.0037536621094
142,-356.9430236816406
143,-358.4775695800781
144,-359.5615539550781
145,-360.3154602050781
146,-360.8901672363281
147,-361.4119567871094
148,-361.9686584472656
149,-362.6125183105469
150,-363.3663635253906
151,-364.2339172363281
152,-365.2021789550781
