,loss
0,2746.8212890625
1,648.756103515625
2,133.33544921875
3,-74.55069732666016
4,-180.07015991210938
5,-241.24835205078125
6,-279.93963623046875
7,-305.96533203125
8,-324.3038024902344
9,-337.7102355957031
10,-347.8134460449219
11,-355.6279296875
12,-361.81298828125
13,-366.8118591308594
14,-370.93121337890625
15,-374.3880920410156
16,-377.3398742675781
17,-379.9024963378906
18,-382.1625061035156
19,-384.1852722167969
20,-386.0216369628906
21,-387.7101745605469
22,-389.2812194824219
23,-390.7587890625
24,-392.162353515625
25,-393.5066833496094
26,-394.8045959472656
27,-396.06494140625
28,-397.2966613769531
29,-398.5060119628906
30,-399.69830322265625
31,-400.878173828125
32,-402.04864501953125
33,-403.21343994140625
34,-404.374267578125
35,-405.5338134765625
36,-406.6935119628906
37,-407.85491943359375
38,-409.0193786621094
39,-410.18792724609375
40,-411.3607482910156
41,-412.53955078125
42,-413.7243957519531
43,-414.9161376953125
44,-416.114990234375
45,-417.3213195800781
46,-418.53582763671875
47,-419.7586975097656
48,-420.9905700683594
49,-422.2316589355469
50,-423.48114013671875
51,-424.7413330078125
52,-426.0102233886719
53,-427.289306640625
54,-428.5797424316406
55,-429.8804931640625
56,-431.191162109375
57,-432.5136413574219
58,-433.8476867675781
59,-435.1929016113281
60,-436.5508117675781
61,-437.92138671875
62,-439.3047180175781
63,-440.7012939453125
64,-442.1118469238281
65,-443.5368957519531
66,-444.9777526855469
67,-446.43304443359375
68,-447.9025573730469
69,-449.3979797363281
70,-450.9041442871094
71,-452.4394226074219
72,-453.9888610839844
73,-455.5724182128906
74,-457.1827087402344
75,-458.8301696777344
76,-460.5149230957031
77,-462.2826843261719
78,-464.2091979980469
79,-466.1037292480469
80,
81,-469.5743713378906
82,-470.6329650878906
83,-471.5109558105469
84,-472.4079284667969
85,-473.4333801269531
86,-474.8595275878906
87,-476.4314880371094
88,-478.0186462402344
89,-479.8417663574219
90,-481.5037536621094
91,-483.3210754394531
92,-485.1244201660156
93,-487.0167541503906
94,-488.8064880371094
95,-490.6650085449219
96,-492.5633850097656
97,-494.4756774902344
98,-496.4126892089844
99,-498.3796691894531
100,-500.3672180175781
101,-502.3841247558594
102,-504.4302062988281
103,-506.5164489746094
104,-508.6288757324219
105,-510.7787780761719
106,-512.970458984375
107,-515.1995849609375
108,-517.47265625
109,-519.7861328125
110,-522.1465454101562
111,-524.5597534179688
112,-527.017822265625
113,-529.533203125
114,-532.1024169921875
115,-534.7291259765625
116,-537.4173583984375
117,-540.1680297851562
118,-542.9843139648438
119,-545.8695678710938
120,-548.8246459960938
121,-551.852294921875
122,-554.9525146484375
123,-558.12548828125
124,-561.3711547851562
125,-564.685302734375
126,-568.061767578125
127,-571.4899291992188
128,-574.9520874023438
129,-578.4231567382812
130,-581.8636474609375
131,-585.2156982421875
132,-588.3953247070312
133,-591.2823486328125
134,-593.7138671875
135,-595.4873657226562
136,-596.4166259765625
137,-596.4996948242188
138,-596.201904296875
139,-596.4275512695312
140,-597.7073364257812
141,-599.6622314453125
142,-601.6015014648438
143,-603.1360473632812
144,-604.2200317382812
145,-604.9739379882812
146,-605.5486450195312
147,-606.0704345703125
148,-606.6271362304688
149,-607.27099609375
150,-608.0248413085938
151,-608.8923950195312
152,-609.8606567382812
153,-610.9055786132812
154,-611.9947509765625
155,-613.0908813476562
156,-614.155517578125
157,-615.1537475585938
158,-616.0601806640625
159,-616.8661499023438
160,-617.5838623046875
161,-618.2463989257812
162,-618.8976440429688
163,-619.5770874023438
164,-620.3053588867188
165,-621.0782470703125
166,-621.8740844726562
167,-622.6661987304688
168,-623.4342651367188
169,-624.1702880859375
170,-624.8751831054688
171,-625.5580444335938
172,-626.2293701171875
173,-626.8985595703125
174,-627.5708618164062
175,-628.2490844726562
176,-628.9319458007812
177,-629.6134033203125
178,-630.2889404296875
179,-630.9519653320312
180,-631.5980224609375
181,-632.2267456054688
182,-632.83544921875
183,-633.4357299804688
184,-634.0267333984375
185,-634.6161499023438
186,-635.2023315429688
187,-635.7896728515625
188,-636.3757934570312
189,-636.954833984375
190,-637.521240234375
191,-638.080810546875
192,-638.6334838867188
193,-639.1661987304688
194,-639.6981811523438
195,-640.224853515625
196,-640.7424926757812
197,-641.2643432617188
198,-641.7836303710938
199,-642.2925415039062
200,-642.793701171875
201,-643.2915649414062
202,-643.7866821289062
203,-644.2704467773438
204,-644.7507934570312
205,-645.226318359375
206,-645.6985473632812
207,-646.16552734375
208,-646.6310424804688
209,-647.0913696289062
210,-647.5491333007812
211,-648.0038452148438
212,-648.4501342773438
213,-648.8931884765625
214,-649.3324584960938
215,-649.7675170898438
216,-650.1992797851562
217,-650.6288452148438
218,-651.0542602539062
219,-651.4741821289062
220,-651.8923950195312
221,-652.305419921875
222,-652.7137451171875
223,-653.119873046875
224,-653.5215454101562
225,-653.9171752929688
226,-654.3150024414062
227,-654.7047729492188
228,-655.0957641601562
229,-655.4819946289062
230,-655.8577270507812
231,-656.235107421875
232,-656.6193237304688
233,-656.9940185546875
234,-657.352783203125
235,-657.717529296875
236,-658.0841674804688
237,-658.44873046875
238,-658.8101196289062
239,-659.1590576171875
240,-659.51123046875
241,-659.8612060546875
242,-660.2084350585938
243,-660.5639038085938
244,-660.9124755859375
245,-661.2515258789062
246,-661.6051635742188
247,-661.9309692382812
248,-662.2798461914062
249,-662.62060546875
250,-662.9666137695312
251,-663.3413696289062
252,-663.590576171875
253,-663.9856567382812
254,-664.3319702148438
255,-664.7020263671875
256,-664.95166015625
257,-665.3248901367188
258,-665.5066528320312
259,-665.664794921875
260,-665.952880859375
261,-666.4193725585938
262,-666.6856689453125
263,-666.61962890625
264,-667.025146484375
265,-667.1405639648438
266,-667.2892456054688
267,-667.4238891601562
268,-667.6282958984375
269,-667.9081420898438
270,-668.2238159179688
271,-668.517578125
272,-668.604736328125
273,-669.0149536132812
274,-669.1552734375
275,-669.3590698242188
276,-669.5367431640625
277,-669.8194580078125
278,-670.0487060546875
279,-670.3381958007812
280,-670.6453857421875
281,-670.8773803710938
282,-671.0172119140625
283,-671.4185180664062
284,-671.5892333984375
285,-671.8571166992188
286,-672.068603515625
287,-672.41064453125
288,-672.6531372070312
289,-672.9462890625
290,-673.2146606445312
291,-673.3862915039062
292,-673.67919921875
293,-674.0171508789062
294,-674.1460571289062
295,-674.584228515625
296,-674.7147216796875
297,-674.9166259765625
298,-675.0714111328125
299,-675.2591552734375
300,-675.8279418945312
301,-675.6581420898438
302,-675.0916748046875
303,-675.312744140625
304,-675.5026245117188
305,-676.6223754882812
306,-662.4944458007812
307,-676.4822387695312
308,-674.8743286132812
309,-674.742431640625
310,-674.7064819335938
311,-674.7870483398438
312,-674.947998046875
313,-675.12451171875
314,-675.308837890625
315,-675.4801025390625
316,-675.6577758789062
317,-675.830322265625
318,-676.00146484375
319,-676.1705322265625
320,-676.3375244140625
321,-676.5050659179688
322,-676.6712036132812
323,-676.8374633789062
324,-677.00390625
325,-677.1694946289062
326,-677.3353881835938
327,-677.501953125
328,-677.6686401367188
329,-677.8360595703125
330,-678.0026245117188
331,-678.1699829101562
332,-678.3372192382812
333,-678.5051879882812
334,-678.672119140625
335,-678.8401489257812
336,-679.0081176757812
337,-679.1765747070312
338,-679.3440551757812
339,-679.5126953125
340,-679.6798095703125
341,-679.848388671875
342,-680.0159912109375
343,-680.1832275390625
344,-680.3515625
345,-680.518798828125
346,-680.6862182617188
347,-680.8539428710938
348,-681.0205688476562
349,-681.1883544921875
350,-681.3556518554688
351,-681.5226440429688
352,-681.6886596679688
353,-681.8556518554688
354,-682.0224609375
355,-682.187255859375
356,-682.3543701171875
357,-682.519775390625
358,-682.6845703125
359,-682.8511962890625
360,-683.01513671875
361,-683.1814575195312
362,-683.3457641601562
363,-683.509521484375
364,-683.6740112304688
365,-683.83837890625
366,-684.0025634765625
367,-684.1664428710938
368,-684.3291015625
369,-684.4924926757812
370,-684.6550903320312
371,-684.818115234375
372,-684.9808959960938
373,-685.1427612304688
374,-685.304443359375
375,-685.466552734375
376,-685.628662109375
377,-685.7894287109375
378,-685.9505004882812
379,-686.1117553710938
380,-686.2713012695312
381,-686.4328002929688
382,-686.5925903320312
383,-686.7530517578125
384,-686.912353515625
385,-687.0714721679688
386,-687.230712890625
387,-687.3905029296875
388,-687.5484008789062
389,-687.7066040039062
390,-687.8643798828125
391,-688.0220947265625
392,-688.1808471679688
393,-688.3379516601562
394,-688.494873046875
395,-688.651611328125
396,-688.8080444335938
397,-688.9637451171875
398,-689.1202392578125
399,-689.2755737304688
400,-689.4310913085938
401,-689.586669921875
402,-689.7410888671875
403,-689.89501953125
404,-690.0501098632812
405,-690.2034912109375
406,-690.357421875
407,-690.5111694335938
408,-690.6643676757812
409,-690.817626953125
410,-690.96923828125
411,-691.122314453125
412,-691.2748413085938
413,-691.4263916015625
414,-691.5775146484375
415,-691.728271484375
416,-691.8792724609375
417,-692.0298461914062
418,-692.18017578125
419,-692.3300170898438
420,-692.4784545898438
421,-692.6270751953125
422,-692.7767333984375
423,-692.92578125
424,-693.073974609375
425,-693.2210083007812
426,-693.36962890625
427,-693.5164184570312
428,-693.6630859375
429,-693.8108520507812
430,-693.957275390625
431,-694.1036376953125
432,-694.2493896484375
433,-694.39404296875
434,-694.5396118164062
435,-694.684814453125
436,-694.8297729492188
437,-694.9730224609375
438,-695.116943359375
439,-695.2615356445312
440,-695.4044189453125
441,-695.5485229492188
442,-695.6900024414062
443,-695.832763671875
444,-695.97412109375
445,-696.1170043945312
446,-696.2566528320312
447,-696.397705078125
448,-696.5391235351562
449,-696.6795043945312
450,-696.8204345703125
451,-696.9595947265625
452,-697.0997924804688
453,-697.2374877929688
454,-697.3788452148438
455,-697.5151977539062
456,-697.6528930664062
457,-697.7913208007812
458,-697.9286499023438
459,-698.06591796875
460,-698.2053833007812
461,-698.3419799804688
462,-698.4788208007812
463,-698.6139526367188
464,-698.7510375976562
465,-698.8853759765625
466,-699.0211181640625
467,-699.156982421875
468,-699.2906494140625
469,-699.4262084960938
470,-699.5612182617188
471,-699.6950073242188
472,-699.82958984375
473,-699.9638061523438
474,-700.09619140625
475,-700.228759765625
476,-700.3630981445312
477,-700.4943237304688
478,-700.626708984375
479,-700.761474609375
480,-700.8929443359375
481,-701.0230712890625
482,-701.1571044921875
483,-701.2885131835938
484,-701.4218139648438
485,-701.5531005859375
486,-701.6871337890625
487,-701.820068359375
488,-701.9482421875
489,-702.076416015625
490,-702.211669921875
491,-702.3419799804688
492,-702.4718627929688
493,-702.6068115234375
494,-702.7374267578125
495,-702.8685302734375
496,-702.999267578125
497,-703.12744140625
498,-703.2655029296875
499,-703.3897094726562
500,-703.5250854492188
501,-703.6597290039062
502,-703.7933349609375
503,-703.9306640625
504,-704.0577392578125
505,-704.1915283203125
506,-704.3280639648438
507,-704.4638671875
508,-704.6027221679688
509,-704.7333374023438
510,-704.8720703125
511,-705.0079956054688
512,-705.1450805664062
513,-705.29052734375
514,-705.4281005859375
515,-705.5806274414062
516,-705.7101440429688
517,-705.840576171875
518,-706.0008544921875
519,-706.1316528320312
520,-706.3047485351562
521,-706.4597778320312
522,-706.5952758789062
523,-706.7721557617188
524,-706.90771484375
525,-707.1220092773438
526,-707.2911987304688
527,-707.4641723632812
528,-707.6522827148438
529,-707.79248046875
530,-708.0625610351562
531,-708.3125610351562
532,-708.8866577148438
533,-708.599365234375
534,-709.15283203125
535,
536,-709.466796875
537,-710.1217041015625
538,
539,-709.4191284179688
540,
541,-708.2405395507812
542,-709.0384521484375
543,-709.0496215820312
544,-709.1150512695312
545,-709.0661010742188
546,-709.135009765625
547,-709.2301635742188
548,-709.2537841796875
549,-709.3340454101562
550,-709.3840942382812
551,-709.4837646484375
552,-709.5552978515625
553,-709.64892578125
554,-709.7108154296875
555,-709.7981567382812
556,-709.8806762695312
557,-710.0012817382812
558,-710.1107177734375
559,-710.219970703125
560,-710.3192749023438
561,-710.3919067382812
562,-710.506103515625
563,-710.5823364257812
564,-710.7111206054688
565,-710.82080078125
566,-710.92138671875
567,-711.0372924804688
568,-711.1900024414062
569,-711.2809448242188
570,-711.3946533203125
571,-711.5010375976562
572,-711.5772094726562
573,-711.7232666015625
574,-711.8290405273438
575,-711.9697875976562
576,-712.0636596679688
577,-712.1897583007812
578,-712.2999267578125
579,-712.3903198242188
580,-712.5178833007812
581,-712.6808471679688
582,-712.775634765625
583,-712.9440307617188
584,-713.0714111328125
585,-713.1177368164062
586,-713.2717895507812
587,-713.3695678710938
588,-713.4533081054688
589,-713.6097412109375
590,-713.7594604492188
591,-713.9617919921875
592,-714.17431640625
593,-714.196044921875
594,-714.2579956054688
595,-714.3428955078125
596,-714.4815063476562
597,-714.66015625
598,-714.768798828125
599,-715.010009765625
600,-715.2259521484375
601,-715.17333984375
602,-715.4094848632812
603,-715.1517944335938
604,-714.4864501953125
