,loss
0,2214.88232421875
1,585.5799560546875
2,195.0476531982422
3,41.619171142578125
4,-34.116180419921875
5,-76.7294921875
6,-102.82284545898438
7,-119.77383422851562
8,-131.28146362304688
9,-139.3685302734375
10,-145.21563720703125
11,-149.55081176757812
12,-152.83905029296875
13,-155.38882446289062
14,-157.41134643554688
15,-159.05157470703125
16,-160.41464233398438
17,-161.574951171875
18,-162.58761596679688
19,-163.49310302734375
20,-164.321044921875
21,-165.09481811523438
22,-165.83120727539062
23,-166.54302978515625
24,-167.24008178710938
25,-167.92999267578125
26,-168.61801147460938
27,-169.3084716796875
28,-170.00469970703125
29,-170.70867919921875
30,-171.42214965820312
31,-172.14639282226562
32,-172.8822021484375
33,-173.629638671875
34,-174.3895263671875
35,-175.16162109375
36,-175.94580078125
37,-176.74221801757812
38,-177.550537109375
39,-178.37060546875
40,-179.20175170898438
41,-180.0440673828125
42,-180.8970947265625
43,-181.76046752929688
44,-182.63394165039062
45,-183.51739501953125
46,-184.4102783203125
47,-185.3123779296875
48,-186.22360229492188
49,-187.14361572265625
50,-188.07208251953125
51,-189.00897216796875
52,-189.95401000976562
53,-190.90713500976562
54,-191.8681640625
55,-192.8370361328125
56,-193.8133544921875
57,-194.79751586914062
58,-195.7890625
59,-196.78826904296875
60,-197.794677734375
61,-198.80838012695312
62,-199.83001708984375
63,-200.85821533203125
64,-201.89450073242188
65,-202.93801879882812
66,-203.98898315429688
67,-205.04733276367188
68,-206.11349487304688
69,-207.18692016601562
70,-208.26864624023438
71,-209.35751342773438
72,-210.45462036132812
73,-211.55972290039062
74,-212.67300415039062
75,-213.79440307617188
76,-214.92422485351562
77,-216.06246948242188
78,-217.20980834960938
79,-218.36563110351562
80,-219.53060913085938
81,-220.70462036132812
82,-221.88803100585938
83,-223.08126831054688
84,-224.28427124023438
85,-225.49691772460938
86,-226.72030639648438
87,-227.95370483398438
88,-229.19827270507812
89,-230.45315551757812
90,-231.72000122070312
91,-232.99826049804688
92,-234.28823852539062
93,-235.59048461914062
94,-236.90493774414062
95,-238.23263549804688
96,-239.57321166992188
97,-240.92758178710938
98,-242.29580688476562
99,-243.67849731445312
100,-245.07614135742188
101,-246.48886108398438
102,-247.91769409179688
103,-249.36245727539062
104,-250.82418823242188
105,-252.30325317382812
106,-253.80032348632812
107,-255.31637573242188
108,-256.8512268066406
109,-258.4062194824219
110,-259.9817199707031
111,-261.5789489746094
112,-263.1983337402344
113,-264.8410949707031
114,-266.5079650878906
115,-268.1994934082031
116,-269.9176940917969
117,-271.6630554199219
118,-273.4364929199219
119,-275.2398986816406
120,-277.0738830566406
121,-278.9403991699219
122,-280.8406677246094
123,-282.7766418457031
124,-284.7495422363281
125,-286.7613830566406
126,-288.8139343261719
127,-290.9089660644531
128,-293.0494079589844
129,-295.2368469238281
130,-297.4735412597656
131,-299.7624206542969
132,-302.1062316894531
133,-304.5067443847656
134,-306.9678039550781
135,-309.4919128417969
136,-312.0818786621094
137,-314.7409973144531
138,-317.4718322753906
139,-320.2770690917969
140,-323.1592102050781
141,-326.1208801269531
142,-329.1625061035156
143,-332.2837829589844
144,-335.4844665527344
145,-338.7597351074219
146,-342.1024475097656
147,-345.5013122558594
148,-348.9382019042969
149,-352.3845520019531
150,-355.8011169433594
151,-359.1305847167969
152,-362.2961730957031
153,-365.1952209472656
154,-367.7067565917969
155,-369.7095642089844
156,-371.1247253417969
157,-371.9835510253906
158,-372.5011901855469
159,-373.0727233886719
160,-374.1180114746094
161,-375.8179016113281
162,-377.9909973144531
163,-380.2590026855469
164,-382.2937927246094
165,-383.9441833496094
166,-385.2173156738281
167,-386.2048034667969
168,-387.0221862792969
169,-387.7717590332031
170,-388.5310363769531
171,-389.3497619628906
172,-390.2519226074219
173,-391.2403869628906
174,-392.3008117675781
175,-393.4060363769531
176,-394.5199279785156
177,-395.6050720214844
178,-396.6283264160156
179,-397.5698547363281
180,-398.4297180175781
181,-399.2297058105469
182,-400.0060119628906
183,-400.7939147949219
184,-401.6120300292969
185,-402.4565734863281
186,-403.3052062988281
187,-404.1310119628906
188,-404.9148864746094
189,-405.6497497558594
190,-406.3411560058594
191,-407.0026550292969
192,-407.6479187011719
193,-408.2917785644531
194,-408.9421081542969
195,-409.6020202636719
196,-410.2695617675781
197,-410.9389343261719
198,-411.6031799316406
199,-412.2556457519531
200,-412.8922424316406
201,-413.5127868652344
202,-414.1191101074219
203,-414.7164001464844
204,-415.3091735839844
205,-415.8997497558594
206,-416.4889221191406
207,-417.0741882324219
208,-417.6535339355469
209,-418.2239685058594
210,-418.7845153808594
211,-419.3361511230469
212,-419.8807678222656
213,-420.4198913574219
214,-420.9556579589844
215,-421.4879455566406
216,-422.0168762207031
217,-422.5417785644531
218,-423.0602722167969
219,-423.5712585449219
220,-424.0754089355469
221,-424.5717468261719
222,-425.0619812011719
223,-425.5461120605469
224,-426.0254821777344
225,-426.5011901855469
226,-426.9718933105469
227,-427.4382629394531
228,-427.8988342285156
229,-428.3542175292969
230,-428.8039245605469
231,-429.2481994628906
232,-429.6877136230469
233,-430.1221008300781
234,-430.5517272949219
235,-430.9760437011719
236,-431.3960876464844
237,-431.8099060058594
238,-432.2183532714844
239,-432.6217346191406
240,-433.0194396972656
241,-433.4115905761719
242,-433.7989807128906
243,-434.1814270019531
244,-434.5587463378906
245,-434.9304504394531
246,-435.2969665527344
247,-435.6579895019531
248,-436.0140075683594
249,-436.3645324707031
250,-436.7094421386719
251,-437.0495300292969
252,-437.3843078613281
253,-437.7141418457031
254,-438.0389099121094
255,-438.3588562011719
256,-438.6733093261719
257,-438.9833068847656
258,-439.2882385253906
259,-439.5887756347656
260,-439.8843688964844
261,-440.1757507324219
262,-440.4621887207031
263,-440.7450866699219
264,-441.0233459472656
265,-441.2975769042969
266,-441.5675354003906
267,-441.8336486816406
268,-442.0965881347656
269,-442.3553771972656
270,-442.6103820800781
271,-442.8621520996094
272,-443.1106262207031
273,-443.3557434082031
274,-443.5979309082031
275,-443.8364562988281
276,-444.0727844238281
277,-444.3059997558594
278,-444.5365905761719
279,-444.7645568847656
280,-444.9899597167969
281,-445.2131652832031
282,-445.4337463378906
283,-445.6522521972656
284,-445.8689270019531
285,-446.0829772949219
286,-446.2958068847656
287,-446.5066833496094
288,-446.7153625488281
289,-446.9225158691406
290,-447.1280822753906
291,-447.3323669433594
292,-447.5350036621094
293,-447.7364196777344
294,-447.9356994628906
295,-448.1345520019531
296,-448.3319396972656
297,-448.5282897949219
298,-448.7237854003906
299,-448.9177551269531
300,-449.1105651855469
301,-449.3030700683594
302,-449.4944152832031
303,-449.6846618652344
304,-449.8747253417969
305,-450.0633850097656
306,-450.2519226074219
307,-450.4395446777344
308,-450.6268005371094
309,-450.8130798339844
310,-450.9991149902344
311,-451.1847839355469
312,-451.3700866699219
313,-451.5545959472656
314,-451.7391662597656
315,-451.9233703613281
316,-452.1069641113281
317,-452.2906799316406
318,-452.4741516113281
319,-452.6576843261719
320,-452.8409729003906
321,-453.0249328613281
322,-453.2080993652344
323,-453.3922424316406
324,-453.5760192871094
325,-453.7607116699219
326,-453.9456481933594
327,-454.1310729980469
328,-454.3168029785156
329,-454.5038146972656
330,-454.6913757324219
331,-454.8806457519531
332,-455.0706481933594
333,-455.2627868652344
334,-455.4563293457031
335,-455.6520690917969
336,-455.8504943847656
337,-456.0523376464844
338,-456.2571716308594
339,-456.4663391113281
340,-456.6812438964844
341,-456.9017639160156
342,-457.1310729980469
343,-457.3697204589844
344,-457.6210021972656
345,-457.8913879394531
346,-458.1848449707031
347,-458.5115661621094
348,-458.8988342285156
349,-459.3741760253906
350,-460.0772399902344
351,-461.9180603027344
352,-461.5960998535156
353,-460.9357604980469
354,-460.9231872558594
355,-460.9576110839844
356,-461.0224304199219
357,-461.2225646972656
358,-461.5251770019531
359,-461.8954772949219
360,-462.9377136230469
361,-427.9116516113281
362,-460.7591857910156
363,-461.2162780761719
364,-461.2811584472656
365,-461.2937316894531
366,-461.3125915527344
367,-461.3441467285156
368,-461.3872985839844
369,-461.4413146972656
370,-461.5033874511719
371,-461.5740661621094
372,-461.6496276855469
373,-461.7316589355469
374,-461.8190002441406
375,-461.9079895019531
376,-462.0010681152344
377,-462.0970153808594
378,-462.1947326660156
379,-462.2936706542969
380,-462.3950500488281
381,-462.4964904785156
382,-462.5998840332031
383,-462.7041931152344
384,-462.8078918457031
