,loss
0,2091.224609375
1,540.4686889648438
2,166.14230346679688
3,19.28033447265625
4,-52.87725830078125
5,-93.20016479492188
6,-117.674072265625
7,-133.4039306640625
8,-143.94808959960938
9,-151.24972534179688
10,-156.44149780273438
11,-160.21929931640625
12,-163.02740478515625
13,-165.1590576171875
14,-166.81353759765625
15,-168.12893676757812
16,-169.20211791992188
17,-170.1041259765625
18,-170.88470458984375
19,-171.58154296875
20,-172.22152709960938
21,-172.82553100585938
22,-173.40823364257812
23,-173.98092651367188
24,-174.55224609375
25,-175.12799072265625
26,-175.71243286132812
27,-176.30911254882812
28,-176.9200439453125
29,-177.54696655273438
30,-178.190673828125
31,-178.8515625
32,-179.53024291992188
33,-180.22634887695312
34,-180.939453125
35,-181.66970825195312
36,-182.4166259765625
37,-183.17953491210938
38,-183.95779418945312
39,-184.75131225585938
40,-185.55914306640625
41,-186.38095092773438
42,-187.216064453125
43,-188.06411743164062
44,-188.92465209960938
45,-189.79684448242188
46,-190.68099975585938
47,-191.57589721679688
48,-192.48159790039062
49,-193.397705078125
50,-194.32391357421875
51,-195.25979614257812
52,-196.20529174804688
53,-197.16015625
54,-198.1240234375
55,-199.09677124023438
56,-200.07827758789062
57,-201.0682373046875
58,-202.06704711914062
59,-203.07376098632812
60,-204.08908081054688
61,-205.11257934570312
62,-206.14431762695312
63,-207.18411254882812
64,-208.23214721679688
65,-209.28842163085938
66,-210.35299682617188
67,-211.42556762695312
68,-212.50637817382812
69,-213.59573364257812
70,-214.69326782226562
71,-215.79959106445312
72,-216.91427612304688
73,-218.03762817382812
74,-219.16989135742188
75,-220.31082153320312
76,-221.46109008789062
77,-222.62039184570312
78,-223.78933715820312
79,-224.96743774414062
80,-226.15536499023438
81,-227.35336303710938
82,-228.56112670898438
83,-229.77932739257812
84,-231.00820922851562
85,-232.24746704101562
86,-233.49813842773438
87,-234.75949096679688
88,-236.03286743164062
89,-237.31771850585938
90,-238.61477661132812
91,-239.92410278320312
92,-241.24588012695312
93,-242.58132934570312
94,-243.92971801757812
95,-245.29177856445312
96,-246.66812133789062
97,-248.05886840820312
98,-249.46481323242188
99,-250.88613891601562
100,-252.32327270507812
101,-253.77627563476562
102,-255.24667358398438
103,-256.7344665527344
104,-258.2400207519531
105,-259.7640075683594
106,-261.3070983886719
107,-262.8707580566406
108,-264.4545593261719
109,-266.0592956542969
110,-267.6866149902344
111,-269.3362121582031
112,-271.0100402832031
113,-272.7084655761719
114,-274.4325866699219
115,-276.1832580566406
116,-277.9615783691406
117,-279.7687683105469
118,-281.6062927246094
119,-283.4749450683594
120,-285.3764343261719
121,-287.3117980957031
122,-289.2831115722656
123,-291.2917175292969
124,-293.3394470214844
125,-295.4275207519531
126,-297.5583801269531
127,-299.7340393066406
128,-301.9558410644531
129,-304.2268981933594
130,-306.5488586425781
131,-308.9241027832031
132,-311.3550720214844
133,-313.8439025878906
134,-316.3931579589844
135,-319.0053405761719
136,-321.6829528808594
137,-324.4267272949219
138,-327.2401428222656
139,-330.1225280761719
140,-333.0760803222656
141,-336.0992736816406
142,-339.1904602050781
143,-342.3457336425781
144,-345.5589294433594
145,-348.8194885253906
146,-352.1128234863281
147,-355.4172668457031
148,-358.7035827636719
149,-361.9305725097656
150,-365.0455627441406
151,-367.9823303222656
152,-370.6630554199219
153,-373.0113220214844
154,-374.9671936035156
155,-376.5196228027344
156,-377.7362976074219
157,-378.7829284667969
158,-379.9025573730469
159,-381.3271789550781
160,-383.1590270996094
161,-385.3059387207031
162,-387.5424499511719
163,-389.6345520019531
164,-391.4389953613281
165,-392.9223937988281
166,-394.1299133300781
167,-395.1460876464844
168,-396.0603942871094
169,-396.9479064941406
170,-397.8630065917969
171,-398.8374328613281
172,-399.8816833496094
173,-400.9894714355469
174,-402.1405334472656
175,-403.3069763183594
176,-404.4587707519531
177,-405.5688781738281
178,-406.6252746582031
179,-407.6273498535156
180,-408.5913391113281
181,-409.5391540527344
182,-410.4889221191406
183,-411.4449157714844
184,-412.3977355957031
185,-413.3297424316406
186,-414.2237854003906
187,-415.0707092285156
188,-415.8701477050781
189,-416.6309509277344
190,-417.3658142089844
191,-418.0873718261719
192,-418.8055725097656
193,-419.5260925292969
194,-420.2498474121094
195,-420.9740905761719
196,-421.6936950683594
197,-422.4033508300781
198,-423.0979309082031
199,-423.7762756347656
200,-424.4392395019531
201,-425.0882873535156
202,-425.7279357910156
203,-426.3605041503906
204,-426.9870300292969
205,-427.6072692871094
206,-428.2200622558594
207,-428.8251647949219
208,-429.4218444824219
209,-430.0126647949219
