,loss
0,2596.369384765625
1,726.89208984375
2,274.3711242675781
3,94.56576538085938
4,4.7340087890625
5,-46.46734619140625
6,-78.25616455078125
7,-99.21640014648438
8,-113.67279052734375
9,-124.00274658203125
10,-131.6031494140625
11,-137.33773803710938
12,-141.76358032226562
13,-145.2525634765625
14,-148.05953979492188
15,-150.36349487304688
16,-152.29269409179688
17,-153.9403076171875
18,-155.37551879882812
19,-156.64974975585938
20,-157.80221557617188
21,-158.86236572265625
22,-159.85293579101562
23,-160.79193115234375
24,-161.6922607421875
25,-162.56549072265625
26,-163.41949462890625
27,-164.26083374023438
28,-165.09426879882812
29,-165.92440795898438
30,-166.75393676757812
31,-167.58517456054688
32,-168.42041015625
33,-169.26071166992188
34,-170.10751342773438
35,-170.96127319335938
36,-171.82272338867188
37,-172.69253540039062
38,-173.57080078125
39,-174.45809936523438
40,-175.3541259765625
41,-176.2589111328125
42,-177.17291259765625
43,-178.09576416015625
44,-179.02761840820312
45,-179.96841430664062
46,-180.91802978515625
47,-181.87637329101562
48,-182.8433837890625
49,-183.8187255859375
50,-184.80288696289062
51,-185.79537963867188
52,-186.796630859375
53,-187.80596923828125
54,-188.82379150390625
55,-189.84967041015625
56,-190.88409423828125
57,-191.92654418945312
58,-192.97781372070312
59,-194.03692626953125
60,-195.104248046875
61,-196.18023681640625
62,-197.2642822265625
63,-198.35671997070312
64,-199.45779418945312
65,-200.5675048828125
66,-201.68539428710938
67,-202.8125
68,-203.94790649414062
69,-205.09243774414062
70,-206.24600219726562
71,-207.40859985351562
72,-208.58065795898438
73,-209.76205444335938
74,-210.95309448242188
75,-212.15347290039062
76,-213.36422729492188
77,-214.58493041992188
78,-215.81588745117188
79,-217.05728149414062
80,-218.30960083007812
81,-219.57272338867188
82,-220.84738159179688
83,-222.13345336914062
84,-223.43087768554688
85,-224.74118041992188
86,-226.06307983398438
87,-227.39834594726562
88,-228.74655151367188
89,-230.10769653320312
90,-231.48281860351562
91,-232.87283325195312
92,-234.27700805664062
