"","X1","X2","X3","X4"
"16",0.227450154663337,0.112502641553097,0.112502641553097,0.31615226256148
"17",0.228747870040486,0.113254552713214,0.113254552713214,0.31713993730891
"18",0.230040559539048,0.114005533366315,0.114005533366315,0.318147271359454
"19",0.231327691472598,0.114755354817482,0.114755354817482,0.319173750427626
"20",0.232608781031656,0.115503794612799,0.115503794612799,0.320218815925661
"21",0.233883349421612,0.116250628024201,0.116250628024201,0.321281892353177
"22",0.235150914887485,0.116995615840124,0.116995615840124,0.322362385011323
"23",0.236411006955454,0.11773852588441,0.11773852588441,0.323459692071873
"24",0.237663204051913,0.118479134137971,0.118479134137971,0.324573183914494
"25",0.238907097447354,0.119217195611142,0.119217195611142,0.325702211459267
"26",0.240142274319631,0.119952456274682,0.119952456274682,0.326846091424496
"27",0.241368329142309,0.120684659723519,0.120684659723519,0.328004105792614
"28",0.242584865894277,0.121413544019191,0.121413544019191,0.329175511867901
"29",0.243791539968665,0.122138861861484,0.122138861861484,0.330359547428458
"30",0.244988043303175,0.122860390032539,0.122860390032539,0.331555451836722
"31",0.246174076875344,0.123577894372401,0.123577894372401,0.332762458380957
"32",0.247349346161783,0.124291143672131,0.124291143672131,0.333979788838966
"33",0.248513556954271,0.124999922248529,0.124999922248529,0.335206671666819
"34",0.249666411845429,0.125704021748416,0.125704021748416,0.336442329694021
"35",0.25080760908537,0.126403232221703,0.126403232221703,0.337685968292519
"36",0.251936835497842,0.12709733911947,0.12709733911947,0.338936775666916
"37",0.253053766538709,0.127786124957364,0.127786124957364,0.340193928130388
"38",0.25415807093808,0.128469372870983,0.128469372870983,0.341456602474576
"39",0.255249412581865,0.12914685743349,0.12914685743349,0.342723971902228
"40",0.256327448198564,0.129818349188327,0.129818349188327,0.343995200849154
"41",0.257391825985957,0.130483617076163,0.130483617076163,0.345269449060664
"42",0.258442187064828,0.131142430668154,0.131142430668154,0.346545877519988
"43",0.259478165281731,0.131794558943263,0.131794558943263,0.347823650162995
"44",0.260499388174968,0.132439769933292,0.132439769933292,0.349101930790589
"45",0.261505479737709,0.133077834084494,0.133077834084494,0.350379892324598
"46",0.262496063165061,0.133708533281355,0.133708533281355,0.351656755088959
"47",0.263470766522764,0.134331653636138,0.134331653636138,0.352931748928624
"48",0.2644292271752,0.134946972302681,0.134946972302681,0.354204098991415
"49",0.265371092265268,0.135554259133626,0.135554259133626,0.355473025027337
"50",0.266296019669839,0.136153286300435,0.136153286300435,0.356737744316562
"51",0.267203702094958,0.13674383045138,0.13674383045138,0.357997470670464
"52",0.268093833379826,0.13732566854069,0.13732566854069,0.359251418903129
"53",0.268966098840114,0.137898576746703,0.137898576746703,0.360498802851635
"54",0.26982017830449,0.138462332093726,0.138462332093726,0.361738834843325
"55",0.27065575406635,0.139016719855779,0.139016719855779,0.362970733771786
"56",0.271472515129677,0.139561523504414,0.139561523504414,0.364193721576966
"57",0.272270189802216,0.140096508694168,0.140096508694168,0.36540703392631
"58",0.273048511700812,0.140621424213264,0.140621424213264,0.366609965790769
"59",0.273807207598521,0.141136025816032,0.141136025816032,0.3678018610341
"60",0.27454599495107,0.141640076350863,0.141640076350863,0.368982115385877
"61",0.27526458984737,0.14213333217898,0.14213333217898,0.370150131468857
"62",0.275962732406554,0.142615523830759,0.142615523830759,0.371305316918615
"63",0.276640161354757,0.143086376351265,0.143086376351265,0.372447069830917
"64",0.277296621274753,0.143545622521962,0.143545622521962,0.373574778004296
"65",0.277931904594634,0.143993022883055,0.143993022883055,0.37468782928765
"66",0.278545807775565,0.144428345891331,0.144428345891331,0.375785605511973
"67",0.279138116579264,0.144851357921623,0.144851357921623,0.376867482324953
"68",0.279708606331665,0.145261828008743,0.145261828008743,0.377932832050628
"69",0.28025705056658,0.145659525345584,0.145659525345584,0.378981019514474
"70",0.280783253459826,0.146044214997144,0.146044214997144,0.380011400054283
"71",0.281287029191807,0.146415653651854,0.146415653651854,0.381023324957464
"72",0.281768189214726,0.146773583892906,0.146773583892906,0.382016155293223
"73",0.282226541548596,0.147117737488198,0.147117737488198,0.382989256604126
"74",0.282661883990068,0.147447847025968,0.147447847025968,0.383941989440419
"75",0.283074007083274,0.147763645745724,0.147763645745724,0.384873707165661
"76",0.28346271140138,0.148064865018358,0.148064865018358,0.385783757183167
"77",0.283827789978307,0.148351238310497,0.148351238310497,0.386671487493857
"78",0.284169024721736,0.14862250180067,0.14862250180067,0.387536244382449
"79",0.28448619164112,0.14887839273659,0.14887839273659,0.388377367719543
"80",0.284779057607371,0.149118649166271,0.149118649166271,0.389194191077315
"81",0.285047379344136,0.149343011092001,0.149343011092001,0.389986041711368
"82",0.285290904626855,0.149551221412849,0.149551221412849,0.390752241663828
"83",0.285509375011301,0.149743026735615,0.149743026735615,0.391492114450749
"84",0.285702533996594,0.149918163426409,0.149918163426409,0.392205001673335
"85",0.285870150709455,0.150076337543871,0.150076337543871,0.392890273142864
"86",0.286011997351864,0.150217251042346,0.150217251042346,0.393547299389247
"87",0.286127845380306,0.150340612122605,0.150340612122605,0.394175447723145
"88",0.286217463918706,0.150446142380222,0.150446142380222,0.394774105422114
"89",0.286280620336713,0.150533571564881,0.150533571564881,0.395342707603196
"90",0.28631709485926,0.150602630639983,0.150602630639983,0.395880694404823
"91",0.286326670023033,0.150653054682519,0.150653054682519,0.396387498307353
"92",0.28630914090825,0.150684584203226,0.150684584203226,0.396862545017334
"93",0.286264307341939,0.150696967464006,0.150696967464006,0.397305256340418
"94",0.286191970751289,0.150689956219079,0.150689956219079,0.397715051624966
"95",0.286091933529903,0.150663311480129,0.150663311480129,0.398091349487901
"96",0.285964002353489,0.150616803674323,0.150616803674323,0.398433566782675
"97",0.285807987351035,0.150550207487978,0.150550207487978,0.398741117612506
"98",0.285623695340937,0.1504633027835,0.1504633027835,0.399013413333186
"99",0.285410929724413,0.150355875398382,0.150355875398382,0.399249863335372
"100",0.285169494890659,0.150227717976204,0.150227717976204,0.399449876111434
"101",0.284899199036173,0.150078629817761,0.150078629817761,0.399612862108554
"102",0.284599864153015,0.149908406807819,0.149908406807819,0.399738240607943
"103",0.28427134487903,0.149716833123916,0.149716833123916,0.399825444504329
"104",0.283913503666973,0.149503699013775,0.149503699013775,0.399873917445717
"105",0.283526209440043,0.149268809690048,0.149268809690048,0.399883110987379
"106",0.283109333141801,0.149011980890188,0.149011980890188,0.399852480674991
