,loss
0,3276.519775390625
1,960.8363037109375
2,405.60467529296875
3,184.27859497070312
4,72.73558044433594
5,8.3804931640625
6,-32.171722412109375
7,-59.370147705078125
8,-78.48873901367188
9,-92.43484497070312
10,-102.92340087890625
11,-111.02011108398438
12,-117.41543579101562
13,-122.57321166992188
14,-126.81393432617188
15,-130.36428833007812
16,-133.38821411132812
17,-136.005859375
18,-138.308349609375
19,-140.3629150390625
20,-142.22216796875
21,-143.92724609375
22,-145.50872802734375
23,-146.99234008789062
24,-148.3978271484375
25,-149.7406005859375
26,-151.03387451171875
27,-152.28732299804688
28,-153.510009765625
29,-154.70831298828125
30,-155.887939453125
31,-157.0533447265625
32,-158.20840454101562
33,-159.35678100585938
34,-160.50003051757812
35,-161.64114379882812
36,-162.78164672851562
37,-163.92312622070312
38,-165.06683349609375
39,-166.21395874023438
40,-167.36529541015625
41,-168.52175903320312
42,-169.6842041015625
43,-170.85293579101562
44,-172.02835083007812
45,-173.21124267578125
46,-174.40188598632812
47,-175.60055541992188
48,-176.80795288085938
49,-178.02389526367188
50,-179.24893188476562
51,-180.48306274414062
52,-181.72671508789062
53,-182.9803466796875
54,-184.24392700195312
55,-185.51776123046875
56,-186.80166625976562
57,-188.09628295898438
58,-189.40216064453125
59,-190.71868896484375
60,-192.04672241210938
61,-193.3861083984375
62,-194.73736572265625
63,-196.10061645507812
64,-197.47607421875
65,-198.86392211914062
66,-200.26449584960938
67,-201.67837524414062
68,-203.10537719726562
69,-204.54598999023438
70,-206.00045776367188
71,-207.46939086914062
72,-208.95278930664062
73,-210.45108032226562
74,-211.96499633789062
75,-213.49417114257812
76,-215.03958129882812
77,-216.60183715820312
78,-218.18087768554688
79,-219.77725219726562
80,-221.39181518554688
81,-223.02474975585938
82,-224.67697143554688
83,-226.34872436523438
84,-228.04086303710938
85,-229.75375366210938
86,-231.48825073242188
87,-233.24520874023438
88,-235.02529907226562
89,-236.82925415039062
90,-238.65811157226562
91,-240.51223754882812
92,-242.39340209960938
93,-244.30197143554688
94,-246.23941040039062
95,-248.20681762695312
96,-250.20504760742188
97,-252.23580932617188
98,-254.30007934570312
99,-256.3998107910156
100,-258.5358581542969
101,-260.7109680175781
102,-262.9250183105469
103,-265.1814270019531
104,-267.4813537597656
105,-269.8271789550781
106,-272.2212829589844
107,-274.6649475097656
108,-277.1612854003906
109,-279.7122497558594
110,-282.3208923339844
111,-284.9893493652344
112,-287.7204895019531
113,-290.5169372558594
114,-293.3807067871094
115,-296.3150939941406
116,-299.3215026855469
117,-302.4014587402344
118,-305.5567321777344
119,-308.7859802246094
120,-312.0885314941406
121,-315.4590759277344
122,-318.8905334472656
123,-322.3708190917969
124,-325.8812561035156
125,-329.3931579589844
126,-332.8634948730469
127,-336.2322692871094
128,-339.4122619628906
129,-342.2888488769531
130,-344.7161560058594
131,-346.5475158691406
132,-347.6888122558594
133,-348.3266296386719
134,-349.0282287597656
135,-349.2117004394531
136,-350.1311950683594
137,-351.1361999511719
138,-353.2754821777344
139,-354.8019104003906
140,-355.8273010253906
141,-356.5218200683594
142,-357.0383605957031
143,-357.5124206542969
144,-358.0153503417969
145,-358.6069641113281
146,-359.3077087402344
147,-360.1142272949219
148,-361.0256652832031
149,-362.0003967285156
150,-363.0234069824219
151,-364.0447082519531
152,-365.0376892089844
153,-365.9665832519531
154,-366.8140563964844
155,-367.5738220214844
156,-368.2684631347656
157,-368.9112243652344
158,-369.5519714355469
159,-370.2218933105469
160,-370.9264221191406
161,-371.6634826660156
162,-372.4175109863281
163,-373.1672668457031
164,-373.8966369628906
165,-374.6105041503906
166,-375.2984313964844
167,-375.9715270996094
168,-376.6401672363281
169,-377.3096008300781
170,-377.9786682128906
171,-378.6618957519531
172,-379.3493957519531
173,-380.0337219238281
174,-380.7162170410156
175,-381.3884582519531
176,-382.0459899902344
177,-382.6918640136719
178,-383.3297424316406
179,-383.9585876464844
180,-384.5738220214844
181,-385.1979675292969
182,-385.8309020996094
183,-386.4606018066406
184,-387.0836486816406
185,-387.7284851074219
186,-388.3655700683594
187,-388.9950256347656
188,-389.6283264160156
189,-390.2814636230469
190,-390.9183044433594
191,-391.6135559082031
192,-392.2976379394531
193,-393.0020446777344
194,-393.9058532714844
195,-394.9709167480469
196,-396.3125305175781
197,-396.0854797363281
198,-396.5990295410156
199,-396.6539001464844
200,
201,-397.4751892089844
202,-397.7589416503906
203,-398.0871276855469
204,-398.7163391113281
205,-399.3854064941406
206,-399.7911682128906
207,-400.3496398925781
208,-401.0544738769531
209,-401.5019226074219
210,-402.2250061035156
211,-402.3026428222656
212,-402.9465637207031
213,-402.9812927246094
214,-404.4370422363281
215,
216,
217,-403.5531311035156
218,-403.7275695800781
219,-403.9252014160156
220,-404.1598815917969
221,-404.4092102050781
222,-404.6937561035156
223,-404.9932556152344
224,-405.2962951660156
225,-405.6041564941406
226,-405.9216613769531
227,-406.2436218261719
228,-406.5589904785156
229,-406.8843078613281
230,-407.2103576660156
231,-407.5351257324219
232,-407.8592834472656
233,-408.1814270019531
234,-408.5040588378906
235,-408.8259582519531
236,-409.1469421386719
237,-409.4643859863281
238,-409.7804870605469
239,-410.0921936035156
240,-410.4018249511719
241,-410.7129211425781
242,-411.0138244628906
243,-411.3180847167969
244,-411.6192932128906
245,-411.9141540527344
246,-412.2110290527344
247,-412.5011901855469
248,-412.7886657714844
249,-413.0766906738281
250,-413.3555603027344
251,-413.6369323730469
252,-413.9125671386719
253,-414.1863708496094
254,-414.4566345214844
255,-414.7254943847656
256,-414.9900817871094
257,-415.2514953613281
258,-415.5103454589844
259,-415.7666320800781
260,-416.0200500488281
261,-416.2721862792969
262,-416.5186462402344
263,-416.7621765136719
264,-417.0031433105469
265,-417.2444152832031
266,-417.4811096191406
267,-417.7145080566406
268,-417.9466247558594
269,-418.1752624511719
270,-418.4021911621094
271,-418.6237487792969
272,-418.8490295410156
273,-419.0687561035156
274,-419.2851867675781
275,-419.4969177246094
276,-419.7109680175781
277,-419.9215393066406
278,-420.1299133300781
279,-420.3370666503906
280,-420.5409240722656
281,-420.7419128417969
282,-420.9434509277344
283,-421.1433410644531
284,-421.3391418457031
285,-421.5318908691406
286,-421.7253723144531
287,-421.9175720214844
288,-422.1062316894531
289,-422.2972717285156
290,-422.4830017089844
291,-422.6664733886719
292,-422.8500671386719
293,-423.0337829589844
294,-423.2123107910156
295,-423.3926696777344
296,-423.5704040527344
297,-423.7452697753906
298,-423.9217224121094
299,-424.0962829589844
300,-424.2694396972656
301,-424.4416198730469
302,-424.6115417480469
303,-424.7806091308594
304,-424.9486999511719
305,-425.1152648925781
306,-425.2826232910156
307,-425.4486999511719
308,-425.6127014160156
309,-425.7770690917969
310,-425.9395446777344
311,-426.1001281738281
312,-426.2624816894531
313,-426.4226379394531
314,-426.5835266113281
315,-426.7419128417969
316,-426.8982238769531
317,-427.0586242675781
318,-427.2117004394531
319,-427.3691711425781
320,-427.5224914550781
321,-427.6788635253906
322,-427.8333435058594
323,-427.9856262207031
324,-428.1371154785156
325,-428.2900695800781
326,-428.4413146972656
327,-428.5920715332031
328,-428.7446594238281
329,-428.8928527832031
330,-429.0421447753906
331,-429.1919860839844
332,-429.3396911621094
333,-429.4869689941406
334,-429.6347961425781
335,-429.7814025878906
336,-429.9273986816406
337,-430.0745544433594
338,-430.2185363769531
339,-430.3652038574219
340,-430.5098571777344
341,-430.6543884277344
342,-430.7978210449219
343,-430.9398498535156
344,-431.0832824707031
345,-431.2270202636719
346,-431.3701477050781
347,-431.5100402832031
348,-431.6517639160156
349,-431.7940979003906
350,-431.9358825683594
351,-432.0725402832031
352,-432.2137145996094
353,-432.3550720214844
354,-432.4943542480469
355,-432.6337585449219
356,-432.7716369628906
357,-432.9098205566406
358,-433.0491027832031
359,-433.1855163574219
360,-433.3251647949219
361,-433.4598693847656
362,-433.5982971191406
363,-433.7324523925781
364,-433.8679504394531
365,-434.0033874511719
366,-434.1397399902344
367,-434.2755432128906
368,-434.4114074707031
369,-434.5450744628906
370,-434.6782531738281
371,-434.8107604980469
372,-434.9456481933594
373,-435.0783996582031
374,-435.2124328613281
375,-435.3424987792969
376,-435.4759826660156
377,-435.6076965332031
378,-435.7397155761719
379,-435.8715515136719
380,-436.0030822753906
381,-436.1318054199219
382,-436.2630920410156
383,-436.3921813964844
384,-436.5235900878906
385,-436.6508483886719
386,-436.7812194824219
387,-436.9093322753906
388,-437.0362854003906
389,-437.1653137207031
390,-437.2923278808594
391,-437.4189758300781
392,-437.5461730957031
393,-437.6740417480469
394,-437.7980041503906
395,-437.9260559082031
396,-438.0514831542969
397,-438.1752014160156
398,-438.3008117675781
399,-438.4233093261719
400,-438.5508728027344
401,-438.6717834472656
402,-438.7963562011719
403,-438.9194641113281
404,-439.0420227050781
405,-439.1638488769531
406,-439.2875061035156
407,-439.4091491699219
408,-439.5276794433594
409,-439.6517028808594
410,-439.7702331542969
411,-439.8926696777344
412,-440.0113220214844
413,-440.1331481933594
414,-440.2493591308594
415,-440.3680725097656
416,-440.4892272949219
417,-440.6065979003906
418,-440.7242736816406
419,-440.8403625488281
420,-440.9596862792969
421,-441.0735778808594
422,-441.1914367675781
423,-441.3049011230469
424,-441.4210510253906
425,-441.5377502441406
426,-441.6525573730469
427,-441.7654724121094
428,-441.8811340332031
429,-441.9929504394531
430,-442.1078796386719
431,-442.2206726074219
432,-442.3317565917969
433,-442.4472351074219
434,-442.5556335449219
435,-442.6672058105469
436,-442.7787170410156
437,-442.8890686035156
438,-442.9986877441406
439,-443.1101989746094
440,-443.2179260253906
441,-443.3287048339844
442,-443.4344787597656
443,-443.5437927246094
444,-443.6528625488281
445,-443.7602233886719
446,-443.8688049316406
447,-443.9747619628906
448,-444.0797424316406
449,-444.1842956542969
450,-444.2911071777344
451,-444.3963928222656
452,-444.4997253417969
453,-444.6058044433594
454,-444.7086486816406
455,-444.8132629394531
456,-444.9158630371094
457,-445.0164489746094
458,-445.1187438964844
459,-445.2225036621094
460,-445.3250427246094
461,-445.4259948730469
462,-445.5267028808594
463,-445.6268005371094
464,-445.7275085449219
465,-445.8264465332031
466,-445.9241638183594
467,-446.0230407714844
468,-446.1220397949219
469,-446.2198791503906
470,-446.3197937011719
471,-446.4158630371094
472,-446.5119323730469
473,-446.6089172363281
474,-446.7062072753906
475,-446.7980651855469
476,-446.8938293457031
477,-446.9911804199219
478,-447.0857849121094
479,-447.1786193847656
480,-447.2732849121094
481,-447.3651428222656
482,-447.4587707519531
483,-447.5507507324219
484,-447.6434020996094
485,-447.7332458496094
486,-447.8277282714844
487,-447.9171447753906
488,-448.0062561035156
489,-448.0973205566406
490,-448.1867980957031
491,-448.2768249511719
492,-448.3654479980469
493,-448.4543151855469
494,-448.5425720214844
495,-448.6320495605469
496,-448.7168884277344
497,-448.8049621582031
498,-448.8914489746094
499,-448.9781188964844
500,-449.0639953613281
501,-449.1504211425781
502,-449.2348327636719
503,-449.3210754394531
504,-449.4065856933594
505,-449.4896545410156
506,-449.5752258300781
507,-449.6568908691406
508,-449.7413024902344
509,-449.8219909667969
510,-449.9045104980469
511,-449.9886169433594
512,-450.0694274902344
513,-450.1509094238281
514,-450.2308654785156
515,-450.3118591308594
516,-450.3928527832031
517,-450.4729919433594
518,-450.5533752441406
519,-450.6306457519531
520,-450.7094421386719
521,-450.7908020019531
522,-450.8677062988281
523,-450.9457702636719
524,-451.0225524902344
525,-451.0991516113281
526,-451.1767272949219
527,-451.2535095214844
